hospital_id,name,type,ownership,emergency_services,rating,location_id,address,city,state,zip_code
010035,CULLMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,18,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058
010036,ANDALUSIA HEALTH,Acute Care Hospitals,Proprietary,Yes,3,19,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420
010039,HUNTSVILLE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,20,101 SIVLEY RD,HUNTSVILLE,AL,35801
010040,GADSDEN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,21,1007 GOODYEAR AVENUE,GADSDEN,AL,35903
010044,MARION REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,22,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570
010045,FAYETTE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,23,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555
010046,RIVERVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,3,24,600 SOUTH THIRD STREET,GADSDEN,AL,35901
010049,MEDICAL CENTER ENTERPRISE,Acute Care Hospitals,Proprietary,Yes,2,25,400 N EDWARDS STREET,ENTERPRISE,AL,36330
010051,GREENE COUNTY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,26,509 WILSON AVENUE,EUTAW,AL,35462
010052,LAKE MARTIN COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,27,201 MARIARDEN ROAD,DADEVILLE,AL,36853
010055,FLOWERS HOSPITAL,Acute Care Hospitals,Proprietary,Yes,2,28,4370 WEST MAIN STREET,DOTHAN,AL,36302
010056,ST VINCENT'S BIRMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,29,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205
010058,BIBB MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,30,208 PIERSON AVE,CENTREVILLE,AL,35042
010059,LAWRENCE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,31,202 HOSPITAL STREET,MOULTON,AL,35650
010061,HIGHLANDS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,32,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768
010062,WIREGRASS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,33,1200 W MAPLE AVENUE,GENEVA,AL,36340
010065,RUSSELL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,34,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010
010073,CLAY COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,35,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes,2,36,400 EAST 10TH STREET,ANNISTON,AL,36207
010079,ATHENS LIMESTONE HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,37,700 WEST MARKET STREET,ATHENS,AL,35611
010083,BALDWIN HEALTH,Acute Care Hospitals,Proprietary,Yes,5,38,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,39,1201 7TH STREET SE,DECATUR,AL,35601
010086,NORTHWEST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,3,40,1530 U S HIGHWAY 43,WINFIELD,AL,35594
010087,USA HEALTH UNIVERSITY HOSPITAL,Acute Care Hospitals,Government - State,Yes,3,41,2451 FILLINGIM STREET,MOBILE,AL,36617
010089,WALKER BAPTIST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,42,3400 HIGHWAY 78 EAST,JASPER,AL,35502
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,43,6801 AIRPORT BOULEVARD,MOBILE,AL,36608
010091,GROVE HILL MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,44,295 JACKSON HWY S,GROVE HILL,AL,36451
010092,DCH REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,45,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401
010095,HALE COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,46,508 GREEN STREET,GREENSBORO,AL,36744
010097,ELMORE COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,47,500 HOSPITAL DRIVE,WETUMPKA,AL,36092
010099,D W MCMILLAN MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,48,1301 BELLEVILLE AVENUE,BREWTON,AL,36426
010100,THOMAS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,49,750 MORPHY AVENUE,FAIRHOPE,AL,36532
010101,CITIZENS BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,50,604 STONE AVENUE,TALLADEGA,AL,35160
010102,J PAUL JONES HOSPITAL,Acute Care Hospitals,Government - Local,Yes,Not Available,51,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726
010103,PRINCETON BAPTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,52,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211
010104,GRANDVIEW MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,53,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243
010108,PRATTVILLE BAPTIST HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,54,124 S MEMORIAL DR,PRATTVILLE,AL,36067
010110,BULLOCK COUNTY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,55,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089
010112,WHITFIELD REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,56,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732
010113,MOBILE INFIRMARY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,57,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,58,995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35022
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,Acute Care Hospitals,Proprietary,Yes,3,59,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701
010120,MONROE COUNTY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,60,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460
010125,LAKELAND COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes,5,61,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565
010126,TROY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes,Not Available,62,1330 HIGHWAY 231 SOUTH,TROY,AL,36081
010128,JACKSON MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,Not Available,63,220 HOSPITAL DRIVE,JACKSON,AL,36545
010129,NORTH BALDWIN INFIRMARY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,64,1815 HAND AVENUE,BAY MINETTE,AL,36507
010130,ST VINCENT'S ST CLAIR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,65,7063 VETERANS PARKWAY,PELL CITY,AL,35125
010131,CRESTWOOD MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,3,66,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801
010138,HILL HOSPITAL OF SUMTER COUNTY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,67,751 DERBY DRIVE,YORK,AL,36925
010139,BROOKWOOD BAPTIST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,68,1280 COLUMBIANA ROAD STE 102,VESTAVIA,AL,35216
010144,SPRINGHILL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,69,3719 DAUPHIN STREET,MOBILE,AL,36608
010148,EVERGREEN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,1,70,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401
010149,BAPTIST MEDICAL CENTER EAST,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,71,400 TAYLOR ROAD,MONTGOMERY,AL,36117
01014F,BIRMINGHAM VA MEDICAL CENTER,Acute Care - Veterans Administration,Veterans Health Administration,Yes,3,72,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,73,29 L V STABLER DRIVE,GREENVILLE,AL,36037
010157,NORTH ALABAMA SHOALS HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,74,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661
010158,RUSSELLVILLE HOSPITAL,Acute Care Hospitals,Proprietary,Yes,Not Available,75,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653
010164,COOSA VALLEY MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,76,315 W HICKORY ST,SYLACAUGA,AL,35150
010168,JACK HUGHSTON MEMORIAL HOSPITAL,Acute Care Hospitals,Government - State,Yes,3,77,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867
010169,ATMORE COMMUNITY HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,78,401 MEDICAL PARK DRIVE,ATMORE,AL,36502
010173,ST VINCENT'S CHILTON,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Not Available,79,2030 LAY DAM ROAD,CLANTON,AL,35045
010174,THOMASVILLE REGIONAL MEDICAL CENTER LLC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,80,300 MED PARK DRIVE,THOMASVILLE,AL,36784
010175,EAMC-LANIER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,81,4800 48TH STREET,VALLEY,AL,36854
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,Acute Care - Veterans Administration,Veterans Health Administration,Yes,5,82,215 PERRY HILL ROAD,MONTGOMERY,AL,36109
01021F,TUSCALOOSA VA MEDICAL CENTER,Acute Care - Veterans Administration,Veterans Health Administration,No,Not Available,83,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404
011300,WASHINGTON COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes,Not Available,84,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518
011302,RED BAY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,85,211 HOSPITAL ROAD,RED BAY,AL,35582
011304,OCHSNER CHOCTAW GENERAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,86,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904
011305,ST VINCENTS BLOUNT,Critical Access Hospitals,Voluntary non-profit - Private,No,Not Available,87,150 GILBREATH DRIVE,ONEONTA,AL,35121
011306,TANNER MEDICAL CENTER-EAST ALABAMA,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,88,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278
011307,MEDICAL CENTER BARBOUR,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,89,820 W WASHINGTON ST,EUFAULA,AL,36027
013300,THE CHILDREN'S HOSPITAL OF ALABAMA,Childrens,Voluntary non-profit - Private,Yes,Not Available,90,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233
013301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,Childrens,Government - State,Yes,Not Available,91,1700 CENTER STREET,MOBILE,AL,36604
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,Psychiatric,Proprietary,No,Not Available,92,6869 FIFTH AVENUE SOUTH,BIRMINGHAM,AL,35212
014006,MOUNTAIN VIEW HOSPITAL,Psychiatric,Proprietary,No,Not Available,93,3201 SCENIC HIGHWAY,GADSDEN,AL,35902
014007,BRYCE HOSPITAL,Psychiatric,Government - State,No,Not Available,94,1651 RUBY TYLER PKWY,TUSCALOOSA,AL,35404
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,Psychiatric,Government - State,Yes,Not Available,95,201 UNIVERSITY BLVD,TUSCALOOSA,AL,35401
014014,BAYPOINTE BEHAVIORAL HEALTH,Psychiatric,Voluntary non-profit - Other,Yes,Not Available,96,5800 SOUTHLAND DRIVE,MOBILE,AL,36693
014015,BEACON CHILDREN'S HOSPITAL,Psychiatric,Proprietary,No,Not Available,97,150 HOSPITAL DRIVE,LUVERNE,AL,36049
014016,"SANCTUARY AT THE WOODLANDS, THE",Psychiatric,Proprietary,No,Not Available,98,"1910 CHEROKEE AVENUE, SW",CULLMAN,AL,35055
014017,EASTPOINTE HOSPITAL,Psychiatric,Voluntary non-profit - Other,No,Not Available,99,7400 ROPER LANE,DAPHNE,AL,36526
014018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,Psychiatric,Proprietary,No,Not Available,100,"5315 MILLENIUM DRIVE, NW",HUNTSVILLE,AL,35806
020001,PROVIDENCE ALASKA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,101,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508
020006,MAT-SU REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,102,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645
020008,BARTLETT REGIONAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes,4,103,3260 HOSPITAL DR,JUNEAU,AK,99801
020012,FAIRBANKS MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,104,1650 COWLES STREET,FAIRBANKS,AK,99701
020017,ALASKA REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes,2,105,2801 DEBARR ROAD,ANCHORAGE,AK,99508
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,Acute Care Hospitals,Tribal,Yes,Not Available,106,PO BOX 287,BETHEL,AK,99559
020024,CENTRAL PENINSULA GENERAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1,107,250 HOSPITAL PLACE,SOLDOTNA,AK,99669
020026,ALASKA NATIVE MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes,3,108,4315 DIPLOMACY DR,ANCHORAGE,AK,99508
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),Acute Care - Department of Defense,Department of Defense,Yes,Not Available,109,673 MDG 5955 Zeamer Ave,JBER,AK,99506
02014F,Bassett ACH (FT Wainwright),Acute Care - Department of Defense,Department of Defense,Yes,Not Available,110,4076 Neely Road,Fort Wainwright,AK,99703
021301,PROVIDENCE VALDEZ MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes,Not Available,111,PO BOX 550,VALDEZ,AK,99686
021302,PROVIDENCE SEWARD HOSPITAL,Critical Access Hospitals,Government - Local,Yes,Not Available,112,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664
021304,PETERSBURG MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes,Not Available,113,PO BOX 589,PETERSBURG,AK,99833
021305,SEARHC WRANGELL MEDICAL CENTER-CAH,Critical Access Hospitals,Tribal,Yes,Not Available,114,232 WOOD STREET,WRANGELL,AK,99929
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,115,1915 EAST REZANOF DRIVE,KODIAK,AK,99615
021307,CORDOVA COMMUNITY MEDICAL CENTER,Critical Access Hospitals,Government - Local,Yes,Not Available,116,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574
021308,NORTON SOUND REGIONAL HOSPITAL,Critical Access Hospitals,Tribal,Yes,Not Available,117,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762
021309,BRISTOL BAY AREA HEALTH CORPORATION,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,118,P O BOX 130,DILLINGHAM,AK,99576
021310,MANIILAQ HEALTH CENTER,Critical Access Hospitals,Tribal,Yes,Not Available,119,PO BOX 43,KOTZEBUE,AK,99752
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Not Available,120,3100 TONGASS AVENUE,KETCHIKAN,AK,99901
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,Critical Access Hospitals,Tribal,Yes,Not Available,121,7000 UULA ST,BARROW,AK,99723
021313,SOUTH PENINSULA HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,122,4300 BARTLETT ST,HOMER,AK,99603
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,123,222 TONGASS DR,SITKA,AK,99835
024001,NORTH STAR HOSPITAL,Psychiatric,Proprietary,Yes,Not Available,124,2530 DEBARR RD,ANCHORAGE,AK,99508
024002,ALASKA PSYCHIATRIC INSTITUTE,Psychiatric,Government - State,No,Not Available,125,3700 PIPER STREET,ANCHORAGE,AK,99508
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,126,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006
030006,TUCSON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,127,5301 EAST GRANT ROAD,TUCSON,AZ,85712
030007,VERDE VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,128,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326
030010,ST. MARY'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,129,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745
030011,ST JOSEPH'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,130,350 NORTH WILMOT ROAD,TUCSON,AZ,85711
030012,YAVAPAI REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,131,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301
030013,YUMA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,132,2400 SOUTH AVENUE A,YUMA,AZ,85364
030014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,133,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020
030016,BANNER CASA GRANDE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,134,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122
030022,VALLEYWISE HEALTH MEDICAL CENTER,Acute Care Hospitals,Government - Local,No,2,135,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008
030023,FLAGSTAFF MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,136,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,137,350 WEST THOMAS ROAD,PHOENIX,AZ,85013
030030,ABRAZO CENTRAL CAMPUS,Acute Care Hospitals,Physician,Yes,2,138,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015
030036,CHANDLER REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,139,1955 WEST FRYE ROAD,CHANDLER,AZ,85224
030037,TEMPE ST LUKES HOSPITAL,Acute Care Hospitals,Proprietary,Yes,1,140,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006
030038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,141,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251
030043,CANYON VISTA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,142,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635
030055,KINGMAN REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,143,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86401
030061,BANNER BOSWELL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,144,13632 N 99TH AVE,SUN CITY,AZ,85351
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,145,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,146,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85719
030065,BANNER DESERT MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,147,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202
030069,HAVASU REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,1,148,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403
030071,FORT DEFIANCE INDIAN HOSPITAL,Acute Care Hospitals,Tribal,Yes,Not Available,149,PO BOX 649,FT. DEFIANCE,AZ,86504
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,Acute Care Hospitals,Voluntary non-profit - Other,No,Not Available,150,PO BOX 600,TUBA CITY,AZ,86045
030074,SELLS HOSPITAL,Acute Care Hospitals,Tribal,Yes,Not Available,151,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634
030078,PHOENIX INDIAN MEDICAL CENTER,Acute Care Hospitals,Government - Federal,No,Not Available,152,4212 NORTH 16TH STREET,PHOENIX,AZ,85016
030083,ABRAZO SCOTTSDALE CAMPUS,Acute Care Hospitals,Proprietary,Yes,1,153,3929 EAST BELL ROAD,PHOENIX,AZ,85032
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Acute Care Hospitals,Government - Federal,Yes,Not Available,154,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503
030085,NORTHWEST MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,155,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741
030087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,3,156,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260
030088,BANNER BAYWOOD MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,157,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206
030089,BANNER THUNDERBIRD MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,No,3,158,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,159,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027
030093,BANNER DEL E. WEBB MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,160,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375
030094,ABRAZO ARROWHEAD HOSPITAL,Acute Care Hospitals,Proprietary,Yes,2,161,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes,2,162,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442
030103,MAYO CLINIC HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,163,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054
030105,BANNER HEART HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No,4,164,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206
030107,ARIZONA SPINE AND JOINT HOSPITAL,Acute Care Hospitals,Physician,No,Not Available,165,4620 EAST BASELINE ROAD,MESA,AZ,85206
